Size;Simple find 2-letter, 10000, 0-'?';KMP 2-letter, 10000, 0-'?';Sophisticated KMP 2-letter, 10000, 0-'?';Boier Mur 2-letter, 10000, 0-'?';Simple find 2-letter, 10000, 1-'?';KMP 2-letter, 10000, 1-'?';Sophisticated KMP 2-letter, 10000, 1-'?';Boier Mur 2-letter, 10000, 1-'?';Simple find 2-letter, 10000, 2-'?';KMP 2-letter, 10000, 2-'?';Sophisticated KMP 2-letter, 10000, 2-'?';Boier Mur 2-letter, 10000, 2-'?';Simple find 2-letter, 10000, 3-'?';KMP 2-letter, 10000, 3-'?';Sophisticated KMP 2-letter, 10000, 3-'?';Boier Mur 2-letter, 10000, 3-'?';Simple find 2-letter, 10000, 4-'?';KMP 2-letter, 10000, 4-'?';Sophisticated KMP 2-letter, 10000, 4-'?';Boier Mur 2-letter, 10000, 4-'?';Simple find 2-letter, 1000000, 0-'?';KMP 2-letter, 1000000, 0-'?';Sophisticated KMP 2-letter, 1000000, 0-'?';Boier Mur 2-letter, 1000000, 0-'?';Simple find 2-letter, 1000000, 1-'?';KMP 2-letter, 1000000, 1-'?';Sophisticated KMP 2-letter, 1000000, 1-'?';Boier Mur 2-letter, 1000000, 1-'?';Simple find 2-letter, 1000000, 2-'?';KMP 2-letter, 1000000, 2-'?';Sophisticated KMP 2-letter, 1000000, 2-'?';Boier Mur 2-letter, 1000000, 2-'?';Simple find 2-letter, 1000000, 3-'?';KMP 2-letter, 1000000, 3-'?';Sophisticated KMP 2-letter, 1000000, 3-'?';Boier Mur 2-letter, 1000000, 3-'?';Simple find 2-letter, 1000000, 4-'?';KMP 2-letter, 1000000, 4-'?';Sophisticated KMP 2-letter, 1000000, 4-'?';Boier Mur 2-letter, 1000000, 4-'?';Simple find 4-letter, 10000, 0-'?';KMP 4-letter, 10000, 0-'?';Sophisticated KMP 4-letter, 10000, 0-'?';Boier Mur 4-letter, 10000, 0-'?';Simple find 4-letter, 10000, 1-'?';KMP 4-letter, 10000, 1-'?';Sophisticated KMP 4-letter, 10000, 1-'?';Boier Mur 4-letter, 10000, 1-'?';Simple find 4-letter, 10000, 2-'?';KMP 4-letter, 10000, 2-'?';Sophisticated KMP 4-letter, 10000, 2-'?';Boier Mur 4-letter, 10000, 2-'?';Simple find 4-letter, 10000, 3-'?';KMP 4-letter, 10000, 3-'?';Sophisticated KMP 4-letter, 10000, 3-'?';Boier Mur 4-letter, 10000, 3-'?';Simple find 4-letter, 10000, 4-'?';KMP 4-letter, 10000, 4-'?';Sophisticated KMP 4-letter, 10000, 4-'?';Boier Mur 4-letter, 10000, 4-'?';Simple find 4-letter, 1000000, 0-'?';KMP 4-letter, 1000000, 0-'?';Sophisticated KMP 4-letter, 1000000, 0-'?';Boier Mur 4-letter, 1000000, 0-'?';Simple find 4-letter, 1000000, 1-'?';KMP 4-letter, 1000000, 1-'?';Sophisticated KMP 4-letter, 1000000, 1-'?';Boier Mur 4-letter, 1000000, 1-'?';Simple find 4-letter, 1000000, 2-'?';KMP 4-letter, 1000000, 2-'?';Sophisticated KMP 4-letter, 1000000, 2-'?';Boier Mur 4-letter, 1000000, 2-'?';Simple find 4-letter, 1000000, 3-'?';KMP 4-letter, 1000000, 3-'?';Sophisticated KMP 4-letter, 1000000, 3-'?';Boier Mur 4-letter, 1000000, 3-'?';Simple find 4-letter, 1000000, 4-'?';KMP 4-letter, 1000000, 4-'?';Sophisticated KMP 4-letter, 1000000, 4-'?';Boier Mur 4-letter, 1000000, 4-'?';
100;1574;810;820;619;1312;811;816;620;1307;808;817;628;1316;809;816;643;1343;851;858;642;13280;8038;8050;6253;13305;8174;8172;12116;15243;11892;8924;8450;13283;8310;8244;6230;13277;8321;8269;6226;898;661;662;145;897;660;662;145;1110;976;983;145;1111;978;980;146;1109;980;980;145;9003;6545;6496;1387;9044;6575;6582;3457;9023;6569;6578;3466;9721;11492;7180;3103;9745;11498;7183;3094;
200;1300;820;801;622;1298;819;801;622;1297;819;799;621;1298;819;801;622;1298;819;800;623;13149;8029;7705;6181;13221;8086;8024;4558;13233;7967;7958;8468;13736;8749;8192;12082;13734;8747;8181;12098;885;668;681;275;891;670;680;276;884;667;682;275;885;667;682;187;887;669;700;188;9021;6603;6560;3598;9037;6593;6560;3591;9020;6584;6574;2009;8989;6561;6561;2004;8990;6558;6587;3756;
300;1291;830;841;1185;1292;829;842;1186;1292;829;842;1184;1292;833;842;1184;1297;830;846;1185;13208;8091;8034;12065;13334;8033;8348;12066;13046;8132;7294;4551;13318;8301;8297;12074;13126;8499;7905;6258;877;668;696;391;880;670;695;395;876;669;697;392;872;674;694;177;876;674;695;174;9022;6551;6578;2078;9019;6545;6588;2087;9028;6652;6671;2644;9033;6622;6651;2654;8997;6557;6529;4396;
400;1303;862;885;459;1295;870;892;460;1294;860;884;458;1293;861;885;458;1291;860;885;471;13279;8354;8303;4538;13353;7972;8503;1830;13237;8408;8255;12095;13011;8057;7509;12098;13006;8074;7503;12090;879;692;716;573;884;690;713;568;882;691;715;566;883;690;717;565;879;695;714;568;8972;6609;6584;2247;8971;6602;6591;2248;8972;6613;6617;1969;9002;6589;6606;1981;8989;6621;6602;1983;
500;1266;872;869;1180;1270;875;872;1180;1273;877;870;1184;1270;873;870;1185;1278;876;872;1187;13108;8427;7992;12079;13210;8046;8051;12063;13101;8433;8008;12090;13178;8122;8005;6201;13200;8088;8062;12075;878;695;730;182;877;698;729;183;873;689;723;232;873;690;724;232;873;688;724;232;8960;6641;6642;1927;8985;6629;6632;1932;8997;6645;6620;4908;8990;6634;6624;4898;9032;6617;6609;5667;
600;1267;845;838;1174;1264;848;844;1173;1260;843;846;1213;1276;902;904;468;1272;895;902;467;13182;8465;8065;12093;13256;8222;8212;12083;13250;8229;8220;12081;13236;8011;8069;15155;13281;8086;7693;9480;866;700;755;500;867;704;748;501;867;701;747;501;870;703;747;501;873;701;746;497;8989;6586;6661;4987;9014;6614;6682;1740;9001;6591;6664;1733;8944;6569;6621;2093;8967;6572;6614;2092;
700;1256;856;913;1166;1255;854;912;1164;1253;855;914;1164;1254;859;913;1165;1255;856;913;1165;13220;8121;8251;12060;13200;8053;8082;12763;13284;8179;8291;12077;13168;8118;8074;12113;13190;8139;8087;12278;875;709;772;376;864;719;761;374;866;710;760;374;862;709;762;375;862;708;761;375;8978;6645;6679;3647;8969;6547;6298;2869;9010;6630;6666;2014;9245;7262;7319;2018;9126;6717;6774;3434;
800;1248;918;935;806;1250;909;933;803;1241;920;933;805;1253;915;936;806;1251;910;933;802;13181;8541;8225;8509;13227;8271;8118;1838;13191;8494;8125;8559;13219;8248;8163;6227;13250;8281;8660;6226;860;728;776;343;862;719;777;343;861;719;776;344;863;718;777;343;866;723;785;349;9068;6629;6692;3244;9015;6618;6736;2303;8993;6637;6685;2290;9162;6538;6586;2015;8979;6551;6601;2019;
900;1245;895;958;824;1245;896;961;837;1244;895;973;827;1253;900;960;825;1252;894;959;831;13222;8371;8386;8441;13142;8077;7931;12074;13140;8287;8121;12063;13211;8168;8079;12108;13177;8168;8060;12075;862;722;792;436;864;726;789;437;862;722;792;441;865;726;792;439;864;728;789;435;8976;6649;6708;2134;8990;6667;6666;2134;8967;6575;6660;3658;8952;6554;6654;3653;8955;6618;6691;5661;
1000;1232;926;966;1146;1234;928;965;1144;1232;928;965;1145;1236;927;965;1148;1233;928;967;1143;13162;8342;8412;8451;13221;8376;8421;8510;13019;8281;7378;12073;13251;8230;8339;12088;13086;8512;8144;8514;852;735;804;365;855;740;806;363;854;738;807;362;854;742;804;360;855;738;805;360;9012;6708;6712;3463;8993;6694;6711;3472;9009;6650;6725;3449;9000;6656;6683;3446;8995;6663;6629;1859;
